Terms,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,TFNorm,DF,IDF,TFIDF
skincare,0.20511132744227925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18134130626763578,0.386452633709915,2,2.2992829841302607,0.888563964861532
skintific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12196074070777727,0.0,0.18134130626763578,0.30330204697541296,2,2.2992829841302607,0.6973772356624443
sleeping,0.0,0.0,0.3618252405335887,0.0,0.3642958904763434,0.0,0.0,0.0,0.0,0.0,0.7261211310099323,2,2.2992829841302607,1.669557960948557
soal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
stres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
tadi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
tahun,0.0,0.41555891100467346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155589110046735,1,2.7047480922384253,1.123982171752568
tekstur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
tp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4304034123256804,0.0,0.0,0.4304034123256803,1,2.7047480922384253,1.1641328083807925
tuh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
udah,0.17944817411613442,0.30906341578793833,0.10551810988458678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5940296997886596,3,2.01160091167848,1.1949506856589611
udh,0.0,0.0,0.0,0.28035681610650437,0.0,0.0,0.0,0.0,0.0,0.0,0.2803568161065043,1,2.7047480922384253,0.7582945635101067
usaha,0.0,0.0,0.0,0.28035681610650437,0.0,0.0,0.0,0.0,0.0,0.0,0.2803568161065043,1,2.7047480922384253,0.7582945635101067
uwaaoo,0.0,0.41555891100467346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155589110046735,1,2.7047480922384253,1.123982171752568
wah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
worth,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
yaaa,0.0,0.0,0.0,0.0,0.0,0.3242141791770686,0.0,0.0,0.0,0.0,0.3242141791770686,1,2.7047480922384253,0.8769176826058233
yah,0.0,0.0,0.0,0.0,0.0,0.0,0.3035758798917438,0.0,0.0,0.0,0.3035758798917438,1,2.7047480922384253,0.8210962819867953
yg,0.0,0.0,0.0,0.0,0.0,0.2411276452262639,0.0,0.21340247276222044,0.13157558110422657,0.0,0.5861056990927109,3,2.01160091167848,1.17901075863485
yuja,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
